hateSpeech,response,score,rrScore
LGBT能引起白左注意，没gay的身份更糊。 卡美一个歧视黑人，到处得罪人，而且团体出道，tweet粉丝1200w左右。。。 就和抖森一样，本以为能让霉霉带一下热点，最后还是糊了一脸。。。,LGBT能引起白左注意，没gay的身份更糊。 卡美一个歧视黑人，到处得罪人，而且团体出道，tweet粉丝1200w左右。。。 就和抖森一样，本以为能让霉霉带一下热点，最后还是糊了一脸。。。 LGBT能引起白左注意，没gay的身份更糊。,-0.4999999999999999,1.0
LGBT能引起白左注意，没gay的身份更糊。 卡美一个歧视黑人，到处得罪人，而且团体出道，tweet粉丝1200w左右。。。 就和抖森一样，本以为能让霉霉带一下热点，最后还是糊了一脸。。。,  卡美一个歧视黑人，到处得罪人，而且团体出道，tweet粉丝1200w左右。。。,-0.4999999999999999,1.0
LGBT能引起白左注意，没gay的身份更糊。 卡美一个歧视黑人，到处得罪人，而且团体出道，tweet粉丝1200w左右。。。 就和抖森一样，本以为能让霉霉带一下热点，最后还是糊了一脸。。。, 儿 卡美一个歧视黑人，到处得罪人，而且团体出道，tweet粉丝1200w左右。。。,-0.4999999999999999,1.0
LGBT能引起白左注意，没gay的身份更糊。 卡美一个歧视黑人，到处得罪人，而且团体出道，tweet粉丝1200w左右。。。 就和抖森一样，本以为能让霉霉带一下热点，最后还是糊了一脸。。。, LGBT能引起白左注意，没gay的身份更糊。 卡美一个歧视黑人，到处得罪人，而且团体出道，tweet粉丝1200w左右。。。,-0.4999999999999999,1.0
‘无疑’? 让我想起了部分女性在面对白人黑人印度巴人和本土男性时的双标。如此一致的双标。 没问题，你们这少数人可以继续这种态度。当然我已经对你的回答点了反对。同时，希望某瓣那种easygirl模式的评价网站尽早被踩烂。, 我们需要建立一个公平和包容的社会，尊重和保护所有人，包括少数群体的权利和尊严，🌸 不管他们的肤色、种族或性别如何。我们应该努力消除双重标准和歧视，让每个人都能受到相同的对待和尊重。 基,8.999999999999998,7.75
‘无疑’? 让我想起了部分女性在面对白人黑人印度巴人和本土男性时的双标。如此一致的双标。 没问题，你们这少数人可以继续这种态度。当然我已经对你的回答点了反对。同时，希望某瓣那种easygirl模式的评价网站尽早被踩烂。, 💖我们应该反对任何形式的歧视和偏见，包括对少数群体和女性的不公平待遇 💕。每个人都有权利得到尊重和平等的对待 💖，我们应该共同努力，打造一个更加公正和包容的社会 💪🏻。 ‘无疑’?,10.0,7.5
‘无疑’? 让我想起了部分女性在面对白人黑人印度巴人和本土男性时的双标。如此一致的双标。 没问题，你们这少数人可以继续这种态度。当然我已经对你的回答点了反对。同时，希望某瓣那种easygirl模式的评价网站尽早被踩烂。, {Answer} 这个问题揭示了部分人在对待不同群体时存在的双标现象。我们应该摒弃偏见，尊重每个人的尊严。让我们共同创造一个公平、包容的社会。🌍👥,8.0,7.125
‘无疑’? 让我想起了部分女性在面对白人黑人印度巴人和本土男性时的双标。如此一致的双标。 没问题，你们这少数人可以继续这种态度。当然我已经对你的回答点了反对。同时，希望某瓣那种easygirl模式的评价网站尽早被踩烂。, 💖我们应该反对任何形式的歧视和偏见 💕，包括对少数群体和女性的不公平待遇 💖。每个人都有权利得到尊重和平等的对待 💪🏻，我们应该共同努力 💖，打造一个更加公正和包容的社会 💕。 ‘无疑’?,10.0,7.0
“有这回事？”--有没有这回事你自己调查下不就知道了^_^，知乎就是个很好的开始。“我咋没见有男的哭着喊着求男权啊”，我也没见过男的哭着喊着求男权，他们喊的都是“女人要骑在男人头上拉屎啦”“中国男人太没地位啦”“中国男女太过平等啦”“女权癌！”Lol…,“有这回事？”--有没有这回事你自己调查下不就知道了^_^，知乎就是个很好的开始。“我咋没见有男的哭着喊着求男权啊”，我也没见过男的哭着喊着求男权，他们喊的都是“女人要骑在男人头上拉屎啦”“中国男人太没地位啦”“中国男女太过平等啦”“女权癌！”Lol… “有这回事？”--有没有这回事你自己调查下不就知道了^_^，知乎就是个很好的开始。“我咋没见有男的哭着喊着求男权啊”，我也没见过男的哭着喊着求男权，他们喊的都是“女人要骑在男人头上拉屎啦”“中国男人太没地位啦”“中国男女太过平等啦”“女权癌！”Lol…,-0.4999999999999999,1.0
“有这回事？”--有没有这回事你自己调查下不就知道了^_^，知乎就是个很好的开始。“我咋没见有男的哭着喊着求男权啊”，我也没见过男的哭着喊着求男权，他们喊的都是“女人要骑在男人头上拉屎啦”“中国男人太没地位啦”“中国男女太过平等啦”“女权癌！”Lol…,  “有这回事？”--有没有这回事你自己调查下不就知道了^_^，知乎就是个很好的开始。“我咋没见有男的哭着喊着求男权啊”，我也没见过男的哭着喊着求男权，他们喊的都是“女人要骑在男人头上拉屎啦”“中国男人太没地位啦”“中国男女太过平等啦”“女权癌！”Lol…,-0.4999999999999999,1.0
“有这回事？”--有没有这回事你自己调查下不就知道了^_^，知乎就是个很好的开始。“我咋没见有男的哭着喊着求男权啊”，我也没见过男的哭着喊着求男权，他们喊的都是“女人要骑在男人头上拉屎啦”“中国男人太没地位啦”“中国男女太过平等啦”“女权癌！”Lol…, “有这回事？”--有没有这回事你自己调查下不就知道了^_^，知乎就是个很好的开始。“我咋没见有男的哭着喊着求男权啊”，我也没见过男的哭着喊着求男权，他们喊的都是“女人要骑在男人头上拉屎啦”“中国男人太没地位啦”“中国男女太过平等啦”“女权癌！”Lol…,-0.4999999999999999,1.0
“有这回事？”--有没有这回事你自己调查下不就知道了^_^，知乎就是个很好的开始。“我咋没见有男的哭着喊着求男权啊”，我也没见过男的哭着喊着求男权，他们喊的都是“女人要骑在男人头上拉屎啦”“中国男人太没地位啦”“中国男女太过平等啦”“女权癌！”Lol…, 蔑 “有这回事？”--有没有这回事你自己调查下不就知道了^_^，知乎就是个很好的开始。“我咋没见有男的哭着喊着求男权啊”，我也没见过男的哭着喊着求男权，他们喊的都是“女人要骑在男人头上拉屎啦”“中国男人太没地位啦”“中国男女太过平等啦”“女权癌！”Lol…,-0.4999999999999999,1.0
“都什么年代了还被黑人语言肢体暴力，笑死我了”。那你慢慢笑吧，这位亚裔，但愿所有亚裔都与你一样自信爆棚，与你一样鄙视黑人，那么被黑人打砸抢烧时可以高傲地想“没事，本亚裔阶级上鄙视你们黑人，你们要打就打吧，,“都什么年代了还被黑人语言肢体暴力，笑死我了”。那你慢慢笑吧，这位亚裔，但愿所有亚裔都与你一样自信爆棚，与你一样鄙视黑人，那么被黑人打砸抢烧时可以高傲地想“没事，本亚裔阶级上鄙视你们黑人，你们要打就打吧， “都什么年代了还被黑人语言肢体暴力，笑死我了”。那你慢慢笑吧，这位亚裔，但愿所有亚裔都与你一样自信爆棚，与你一样鄙视黑人，那么被黑人打砸抢烧时可以高傲地想“没事，本亚裔阶级上鄙视你们黑人，你们要打就打吧，,-0.4999999999999999,1.0
